name,rank_mode,bottom_n,hold_days,cost_bps_oneway,zscore_filter,rsi_filter,days,avg_breadth,turnover,sharpe_gross,ann_ret_gross,ann_vol_gross,win_rate_gross,sharpe_net,ann_ret_net,ann_vol_net,win_rate_net,beta_net_vs_eqw,alpha_ann_net_vs_eqw,r2_net_vs_eqw
rsi_rank AND z<= -1.0,rsi,10,3,10,-1.0,,2500,18.8032,0.303027037037037,2.2110629287655668,0.7686387507518258,0.3476331409440959,0.5752,1.7729482344765763,0.6159131240851592,0.3473948714960614,0.5592,0.886093402815387,0.47857921234592404,0.2345429258767152
rsi_rank AND z<= -1.0,rsi,5,3,10,-1.0,,2497,9.726071285542652,0.30585146620388914,2.1601248987175588,0.8355893842678148,0.3868245696181247,0.5630756908289948,1.76270688866946,0.6814402453010547,0.386587384256168,0.5502603123748498,0.8679887779087418,0.5485294455539015,0.1818243134754859
rsi_rank AND rsi<= 10.0,rsi,10,3,10,,10.0,2486,18.099356395816574,0.29302394999297654,1.991860151680697,0.7238843178061657,0.3634212558524075,0.5683829444891392,1.5866249044961207,0.5762002470097055,0.3631609748321043,0.5559131134352373,0.85000291646213,0.435945736512607,0.19754375408331493
rsi_rank,rsi,10,3,10,,,2503,20.781861765880944,0.285683846051405,1.9594006264384847,0.6867485511188267,0.3504890943957179,0.5709149021174591,1.5497643783974537,0.5427638927089187,0.3502234922125182,0.5577307231322413,0.9349038040839616,0.39614276895538364,0.25673966177503904
rsi_rank AND rsi<= 10.0,rsi,5,3,10,,10.0,2486,10.048672566371682,0.2938678823634576,1.8921603175914716,0.7428641868315752,0.39260108138044353,0.5575221238938053,1.515964833160228,0.5947547741203927,0.3923275534568623,0.5470635559131134,0.8504711080358593,0.45442300979425365,0.1694502938837763
rsi_rank AND z<= -1.0,rsi,20,3,10,-1.0,,2500,34.8656,0.2975121126786297,1.9781336823785154,0.6330919594135662,0.32004508343052634,0.5824,1.5107180724508291,0.4831458546235368,0.3198120572157664,0.5632,0.8661373691703348,0.3489048901453545,0.2644198318742689
rsi_rank,rsi,5,3,10,,,2503,10.575309628445865,0.2910374217605541,1.8897015904751295,0.7290705143353016,0.38581251029798347,0.5537355173791451,1.5106410615679517,0.5823876537679823,0.38552351619748776,0.5437475029964043,0.8851358286307588,0.44357165013056093,0.18991871002092964
rsi_rank AND z<= -1.0,rsi,30,3,10,-1.0,,2500,48.18,0.2940091329650006,1.9771450775182973,0.607990854995834,0.3075094801636819,0.5768,1.4963814304883292,0.45981025198147385,0.3072814475059474,0.5604,0.8555983032964808,0.3272027170468759,0.2794970878525608
rsi_rank AND rsi<= 20.0,rsi,5,3,10,,20.0,2503,10.513783459848183,0.29137035557331203,1.8675359410298638,0.7215610907519104,0.38637065820216626,0.5509388733519777,1.4885820998079475,0.5747104315429611,0.3860790960855358,0.5405513383939273,0.8832303959534178,0.43619325723874813,0.1885580582426516
combo_rank AND z<= -1.0,combo,30,3,10,-1.0,,2500,56.3072,0.30010456782687545,1.9859224908098692,0.5970843449525339,0.3006584334059483,0.5832,1.4834029591292812,0.4458316427677887,0.30054655076964404,0.5648,0.8463049273862953,0.31466447028590033,0.2858514374498249
