date,symbol,zscore_5,rsi_2,fwd_ret_3,score,rank
2015-11-25,ALL,-1.588653699706977,0.0,0.017139195899407378,5.0,1.0
2015-11-25,BAC,-0.8924490967443407,0.0,0.021215596330275144,50.0,25.0
2015-11-25,BRK.B,-1.2870439924786683,0.0,0.009620365573891787,24.0,5.0
2015-11-25,C,-0.9330784398583476,0.0,0.01479289940828421,48.0,22.0
2015-11-25,CMCSA,-1.178341996959128,9.240924092409273,0.005700325732899136,47.0,20.0
2015-11-25,EIX,-1.449082231761934,7.692307692307708,0.002027712064886833,27.0,8.0
2015-11-25,FIS,-1.1610691067913592,8.847184986595153,-0.0006198667286534398,48.0,23.0
2015-11-25,NEE,-1.3219801553270203,0.6198347107438309,0.017091423948220053,25.0,7.0
2015-11-25,NI,-1.6296434287653323,5.504587155963208,0.013061650992685525,15.0,2.0
2015-11-25,SHOP,-1.219268108470616,8.268733850129209,-0.00605143721633894,43.0,18.0
2015-11-25,SO,-1.349277236984762,3.9473684210527296,0.013458950201884257,24.0,6.0
2015-11-25,SRE,-1.436532369943586,6.710526315789565,0.008872756604153986,27.0,9.0
2015-11-25,UAL,-1.3189094552079572,4.843750000000028,0.013696193525435829,29.0,10.0
2015-11-25,UNP,-0.909178325720412,0.0,-0.002717712395131633,52.0,30.0
2015-11-25,V,-1.4596207303376707,2.38095238095191,0.004399195575666148,17.0,3.0
2015-11-25,WFC,-1.0922962750488272,0.0,0.008873596522998906,38.0,15.0
2015-11-27,BA,-1.2341547166909763,7.386363636363541,6.805035726453745e-05,20.0,9.0
2015-11-27,BRK.B,-1.2375216838035132,0.0,0.004753769590730261,14.0,4.0
2015-11-27,CRM,-1.3673155222923976,8.704453441295186,0.011379267225209322,16.0,6.0
2015-11-27,EQT,-1.4492547567257226,9.08424908424901,-0.05173108921029046,16.0,7.0
2015-11-27,FOXA,-1.6284384187036482,9.014084507042,-0.007786052809749533,10.0,3.0
2015-11-27,GLW,-1.6716779802910908,5.970149253730966,-0.0010660980810236476,6.0,1.0
2015-11-27,LVS,-1.612210090759696,1.8333333333333144,0.019404332129963953,7.0,2.0
2015-11-27,SO,-0.8959980006042315,3.9473684210527296,-0.008299685957828595,34.0,14.0
2015-11-27,UNP,-0.7173662944022333,0.0,-0.02863905325443794,44.0,21.0
2015-11-30,BA,-1.507797257129032,2.256944444444443,0.00075627363355113,42.0,17.0
2015-11-30,BRK.B,-1.3221149955351783,0.0,-0.010664479081214151,52.0,20.0
2015-11-30,CAG,-1.7760421918888396,9.885931558935397,-0.022721720009772794,29.0,6.0
2015-11-30,CRM,-1.316975752886114,4.564755838640963,0.003011670222110796,65.0,29.0
2015-11-30,DIA,-1.7108065928496914,7.119741100323267,-0.01354172544151655,30.0,9.0
2015-11-30,EXC,-1.6939979857147296,3.3182503770738805,-0.006224826071036138,21.0,4.0
2015-11-30,F,-1.781642199499863,0.8720930232557862,-0.02442428471737612,6.0,1.0
2015-11-30,FIG,-1.6744212838902257,8.530805687203767,-0.045787545787545736,40.0,14.0
2015-11-30,GE,-1.570312408301012,6.221970981722322,0.003002165848219107,40.0,15.0
2015-11-30,GME,-1.3677013246587642,4.852686308492181,-0.06423065943477024,62.0,25.0
2015-11-30,LLY,-1.6037951962823953,3.4251175285426285,0.012432959531935683,29.0,7.0
2015-11-30,LULU,-1.7841260667491368,7.445805843543852,0.02718527812630689,22.0,5.0
2015-11-30,LVS,-1.3051916152193803,1.082677165354326,-0.011802088061734106,60.0,23.0
2015-11-30,MDT,-1.7830112122153776,4.147465437788043,0.01765330501725515,11.0,2.0
2015-11-30,ORLY,-1.763256380000486,5.809631861038312,-0.03979239737824947,19.0,3.0
2015-11-30,PG,-1.5815476414231615,5.820660723649766,0.012025654730090762,37.0,10.0
2015-11-30,UNP,-1.5132506299524966,0.0,-0.05658129839189996,37.0,11.0
2015-11-30,WMT,-1.7073464072073654,6.570517116585805,0.0034007535702813563,29.0,8.0
2015-12-01,CAG,-1.1423166918556542,9.009009009009048,0.0063585228662264015,16.0,8.0
2015-12-01,EMR,-1.5988051844785465,6.615214994487161,-0.009068923821039854,9.0,4.0
2015-12-01,FIG,-1.585860107310082,3.0252100840336027,-0.03183520599250933,6.0,1.0
2015-12-01,GME,-1.051491224106411,3.552397868561272,-0.04034582132564857,17.0,9.0
2015-12-01,ORLY,-1.351201222463677,3.537651571098479,-0.014180585177857807,8.0,3.0
2015-12-01,UVXY,-1.716983955436838,4.499540863177231,0.005275974025974017,6.0,2.0
2015-12-02,AAPL,-1.603371251706626,9.16386228319952,0.01719986240110072,43.0,17.0
2015-12-02,CHRW,-1.7266875166025304,6.315724359767359,-0.023592324630386963,22.0,7.0
2015-12-02,CNP,-1.7311111017460952,5.289492494638964,-0.011445783132530196,18.0,3.0
2015-12-02,CSX,-1.6582020414621867,8.543731060737528,-0.05448581734174596,37.0,15.0
2015-12-02,D,-1.7727787769428311,3.071593533487075,0.0,9.0,1.0
2015-12-02,EIX,-1.70529492441472,4.653061224489818,0.02335094596897891,19.0,4.0
2015-12-02,EMR,-1.5837484291531985,1.8873859704309268,-0.008178286648947042,29.0,11.0
2015-12-02,EQT,-1.7252947840986652,2.605051414087143,-0.024983718740826055,13.0,2.0
2015-12-02,FIG,-1.3515634383955433,1.4574898785425034,0.01908396946564883,60.0,24.0
2015-12-02,GILD,-1.3253323557766028,5.275761430816459,-0.014649559555725777,74.0,30.0
2015-12-02,GM,-1.7288521883894277,7.796101949025072,0.011195074167366537,24.0,8.0
2015-12-02,GME,-1.2643800350498005,1.5130228034150974,-0.02361972246826094,73.0,29.0
2015-12-02,HOG,-1.530029059172748,4.52957984971961,-0.003987408184679908,44.0,18.0
2015-12-02,IP,-1.6821363884641114,3.0443278823408377,-0.007237334664337403,19.0,5.0
2015-12-02,MA,-1.5096039183496324,6.778505182760668,0.007415036045314016,53.0,23.0
2015-12-02,OKE,-1.6690067966099074,2.284342097161499,-0.19896257873286394,19.0,6.0
2015-12-02,SHY,-1.6956455039938367,9.471766848819255,0.0001183291918114282,35.0,14.0
2015-12-02,UNP,-1.7355225077480805,8.184143222506435,-0.05835769980506811,24.0,9.0
2015-12-02,WY,-1.6459326382008597,6.022913256955718,0.00031486146095716094,32.0,12.0
2015-12-03,BK,-1.617017702315301,3.374042641274869,0.003955328059562557,67.0,24.0
2015-12-03,CDNS,-1.7774414375925431,2.892918825561324,0.013195098963242335,25.0,4.0
2015-12-03,CSGP,-1.7049157945643192,4.200403953741983,0.008741941785505025,48.0,12.0
2015-12-03,CTSH,-1.7077236477624769,5.5935055935056255,0.005513215501864677,59.0,20.0
2015-12-03,D,-1.5114416720108494,1.2620990700321784,0.011354917907012263,85.0,30.0
2015-12-03,DD,-1.752141679663606,4.029176797499119,0.005586592178770999,34.0,7.0
2015-12-03,DHR,-1.6725487225599678,4.146773914780354,0.01290262279393617,53.0,15.0
2015-12-03,FTNT,-1.6247979121010463,4.6371833404895,-0.005187319884726316,75.0,27.0
2015-12-03,GILD,-1.529848940866259,1.3420646856142042,0.02120733872558689,77.0,29.0
2015-12-03,GLW,-1.782619092382724,2.362762857367869,0.0,18.0,3.0
2015-12-03,GPRO,-1.7495856966157362,4.763593380614637,-0.07131537242472274,48.0,13.0
